X Position [ppos],Y Position [ppos],Calibration [nW/(pstr/sec)],Calibration Sigma [nW/(pstr/sec)]
1549.284625774979,403.1302327687665,0.61363834,0.0025572924907704612
1638.1799412439775,406.9644708073176,0.6537598,0.002778258771232571
1470.1326324553238,400.2692626737074,0.55970085,0.0023818552286456896
1385.704391977899,398.50385938133223,0.55530936,0.00218735232351048
1836.9651110723803,683.3238138263933,0.7928217,0.003422919803927197
1766.053366842914,682.635082092604,0.7358525,0.003043362157967931
271.1077775899019,700.0588118922853,0.7034186,0.0030454178448863483
433.6883291479373,695.1543311939571,0.6257892,0.0025420161038003943
365.63097454883166,697.2405153854321,0.636018,0.0026147229948636926
705.3091261057456,689.6857966157427,0.58680886,0.0022471712201088665
